date, val1, val2
2012-04-17,3.8603357826e+07,2.9708071828e+07
2012-04-18,3.4064838071e+07,2.2616599127e+07
2012-04-19,5.9468471239e+07,3.5854400207e+07
2012-04-20,5.1808576953e+07,3.5468465529e+07
2012-04-21,5.1988288810e+07,3.4927152209e+07
2012-04-22,1.9979588892e+07,6.4029836342e+06
2012-04-23,1.6417997498e+07,1.0333050371e+07
2012-04-24,4.1806936867e+07,3.1274045299e+07
2012-04-25,6.0314845869e+07,3.3319017089e+07
2012-04-26,5.0008288855e+07,3.3383190824e+07
2012-04-27,5.2932449629e+07,3.6106896461e+07
2012-04-28,5.3810742063e+07,3.8955170246e+07
2012-04-29,1.4849057924e+07,6.6516887723e+06
2012-04-30,1.6721950165e+07,5.5619364469e+06
2012-05-01,3.8914718067e+07,2.8669540793e+07
2012-05-02,6.1134510401e+07,3.4086835530e+07
2012-05-03,5.7434504292e+07,3.6504779531e+07
2012-05-04,5.7055030340e+07,3.3569534313e+07
2012-05-05,5.2924252477e+07,4.2111584775e+07
2012-05-06,1.5949527175e+07,8.4394196520e+06
2012-05-07,7.3761099947e+06,8.7760963508e+06
2012-05-08,3.9271134376e+07,2.7505682953e+07
2012-05-09,3.8936337552e+07,2.9328174949e+07
2012-05-10,4.1988844778e+07,2.7528582441e+07
2012-05-11,3.9058973135e+07,3.2897087485e+07
2012-05-12,4.1839251179e+07,3.0506167680e+07
2012-05-13,2.5576326729e+07,6.6150087491e+06
2012-05-14,2.4061862787e+07,5.3184790141e+06
2012-05-15,4.2521254064e+07,3.1234828407e+07
2012-05-16,4.6183326282e+07,5.4386214592e+07
2012-05-17,4.8613028345e+07,4.9155256155e+07
2012-05-18,5.1642690874e+07,3.1951656299e+07
2012-05-19,5.9739378973e+07,3.9271974874e+07
2012-05-20,4.7298840373e+07,3.3730327877e+07
2012-05-21,1.8713163636e+07,1.8166872728e+07
2012-05-22,4.3549908021e+07,4.1375470286e+07
2012-05-23,4.1171038958e+07,2.5012315258e+07
2012-05-24,4.1073305764e+07,2.6538911537e+07
2012-05-25,3.4433933204e+07,2.3630266380e+07
2012-05-26,4.7037946680e+07,2.6028409729e+07
2012-05-27,1.6810781068e+07,5.4570952074e+06
2012-05-28,6.2007372615e+06,4.5797771834e+06
2012-05-29,5.2501471316e+06,5.1193288354e+06
2012-05-30,4.8234000982e+07,3.2534445381e+07
2012-05-31,6.0439928418e+07,4.1002771803e+07
2012-06-01,6.4545356562e+07,3.8961890794e+07
2012-06-02,8.3113474148e+07,5.4037350992e+07
2012-06-03,1.2880693552e+07,1.4342121898e+07
2012-06-04,8.2488259163e+06,6.3891047314e+06
2012-06-05,4.6290346572e+07,3.5821571108e+07
2012-06-06,5.8523655723e+07,4.2996304706e+07
2012-06-07,3.6103063750e+07,2.7998173364e+07
2012-06-08,2.7909885876e+07,2.2178974344e+07
2012-06-09,4.1027139262e+07,3.0502487589e+07
2012-06-10,1.2631383222e+07,6.5560264458e+06
2012-06-11,1.0207572544e+07,6.8778062770e+06
2012-06-12,4.1956604878e+07,2.9676929999e+07
